"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.553208343E-3,3.336277355E-2,1.445278220E-2,6.493917704E-3,3.693411078E-2
1.761420834E-2,2.822005145E-2,3.922747146E-2,1.951274335E-2,5.211442194E-2
2.767620834E-2,3.896516902E-2,5.097310245E-3,6.373465061E-5,3.929721403E-2
3.773820834E-2,1.047590902E-1,-5.095070031E-2,-8.232879639E-4,1.164951443E-1
4.780020834E-2,1.118940363E-1,-4.250099860E-2,5.770617127E-3,1.198328431E-1
5.786220834E-2,2.238419219E-2,7.800087009E-2,2.029451609E-2,8.364840212E-2
6.792420834E-2,1.371152428E-2,7.299262024E-2,1.222945154E-2,7.526943598E-2
7.798620833E-2,4.309581575E-2,-1.082014466E-2,8.788365126E-4,4.444206587E-2
8.804820833E-2,6.343657052E-2,-9.258841233E-2,1.107871950E-2,1.127809851E-1
9.811020833E-2,7.247664001E-2,-9.589300280E-2,1.094540298E-2,1.206985219E-1
1.081722083E-1,3.603233813E-2,-1.379115148E-2,1.484140277E-2,4.133754330E-2
1.182342083E-1,1.637225408E-2,5.029774904E-2,8.111257553E-3,5.351361286E-2
1.282962083E-1,2.308545607E-2,4.130977459E-2,1.545652986E-2,4.978292955E-2
1.383582083E-1,4.444933197E-2,-1.618745008E-2,-2.190366983E-3,4.735582710E-2
1.484202083E-1,5.554842536E-2,-5.027441500E-2,1.713175714E-2,7.685467758E-2
1.584822083E-1,3.739920701E-2,-3.860276956E-2,1.325096011E-2,5.535758708E-2
1.685442083E-1,7.033716207E-3,1.745181911E-2,1.220957100E-2,2.243017561E-2
1.786062083E-1,-2.455787634E-2,1.032492843E-1,9.051489830E-4,1.061335164E-1
1.886682083E-1,-7.193226423E-3,5.506612600E-2,1.730191112E-3,5.556090622E-2
1.987302083E-1,1.884850879E-2,-2.320008891E-2,1.365617216E-2,3.286337546E-2
2.087922083E-1,2.524146153E-2,-4.807226222E-2,7.865089774E-3,5.486286004E-2
2.188542083E-1,2.232558299E-2,-1.848151378E-2,4.105330110E-3,2.927203004E-2
2.289162083E-1,2.090415227E-2,1.185614336E-3,1.749486923E-2,2.728478904E-2
2.389782083E-1,4.697981961E-3,1.855506079E-2,1.114713192E-2,2.214994053E-2
2.490392083E-1,5.206707995E-3,-6.292334944E-4,1.658328831E-2,1.739284894E-2
2.591012083E-1,4.578223675E-3,-2.299423037E-2,7.401405573E-3,2.458608482E-2
