"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.356416674E-3,9.558362114E-2,8.073223243E-3,-1.170144796E-2,9.663503220E-2
1.541741667E-2,1.374207872E-1,2.015297692E-2,-1.694990873E-2,1.399211015E-1
2.547841666E-2,1.407783315E-1,3.600555514E-2,2.735269010E-2,1.478617877E-1
3.553941667E-2,1.338933264E-1,2.240524217E-2,2.974186242E-2,1.389748039E-1
4.560141667E-2,1.194723659E-1,1.150620578E-2,-3.987040937E-2,1.264740626E-1
5.566241666E-2,1.147110604E-1,1.828263536E-2,2.613939285E-2,1.190636384E-1
6.572341667E-2,1.245607134E-1,1.166844774E-2,3.796538651E-2,1.307397972E-1
7.578441667E-2,1.309631405E-1,1.436368525E-2,-1.307612836E-2,1.323957883E-1
8.584541667E-2,1.163156825E-1,1.169983998E-2,4.138074517E-3,1.169758433E-1
9.590741667E-2,1.126385788E-1,3.057148182E-2,2.973601520E-2,1.204420837E-1
1.059684167E-1,1.110447283E-1,2.535411179E-2,-3.103877485E-2,1.180557843E-1
1.160294167E-1,1.081397219E-1,1.028591928E-2,-1.696978927E-2,1.099453198E-1
1.260904167E-1,9.666531949E-2,2.082175221E-2,1.356495559E-2,9.980850354E-2
1.361514167E-1,1.319813783E-1,3.130631237E-2,9.669540524E-3,1.359877547E-1
1.462124167E-1,1.301041571E-1,2.644674626E-2,6.858783960E-4,1.327666845E-1
1.562744167E-1,1.112547529E-1,1.969167729E-2,1.535478830E-2,1.140225931E-1
1.663354167E-1,1.093610134E-1,1.756147267E-2,-4.705839157E-3,1.108619930E-1
1.763964167E-1,1.110560847E-1,1.095962816E-2,-3.956226110E-3,1.116656577E-1
1.864574167E-1,1.124483524E-1,2.481737394E-2,3.002545238E-2,1.190044612E-1
1.965184167E-1,1.160173192E-1,1.745768460E-2,1.236393750E-2,1.179731159E-1
