"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.777041667E-3,6.930587769E-2,-3.248245239E-2,9.733509064E0,9.733810000E0
8.283958333E-3,8.532257080E-2,-4.011657715E-2,9.792336731E0,9.792790610E0
1.834495833E-2,7.020401001E-2,-3.996688843E-2,9.804760895E0,9.805093684E0
2.840595833E-2,7.155120850E-2,-2.020797729E-2,9.796228638E0,9.796510780E0
3.846595833E-2,7.544311523E-2,-3.278182983E-2,9.775272217E0,9.775618304E0
4.852695833E-2,9.056167603E-2,-3.353027344E-2,9.773026886E0,9.773503988E0
5.858795833E-2,1.317260742E-1,-7.559280396E-2,9.923164673E0,9.924326836E0
6.864895833E-2,1.139131165E-1,-7.334747314E-2,9.802964630E0,9.803900835E0
7.870995833E-2,1.064286804E-1,-6.960525513E-2,9.790690155E0,9.791516005E0
8.876995833E-2,9.430389404E-2,-6.122268677E-2,9.792935486E0,9.793580901E0
9.883095833E-2,1.008901978E-1,-6.316864014E-2,9.784852295E0,9.785576301E0
1.088919583E-1,9.924362183E-2,-3.323089600E-2,9.807604980E0,9.808163388E0
1.189529583E-1,7.080276489E-2,-2.559677124E-2,9.799521790E0,9.799810995E0
1.290139583E-1,9.071136475E-2,-2.888992310E-2,9.798923035E0,9.799385482E0
1.390739583E-1,1.215472412E-1,-2.544708252E-2,9.802066498E0,9.802853101E0
1.491349583E-1,1.330732727E-1,-4.370910645E-2,9.789792023E0,9.790793984E0
1.591959583E-1,1.333726501E-1,-4.281097412E-2,9.790091400E0,9.791093436E0
1.692569583E-1,1.169068909E-1,-3.592529297E-2,9.787397003E0,9.788161112E0
1.793179583E-1,7.978408813E-2,-3.173400879E-2,9.796078949E0,9.796455243E0
1.893779583E-1,9.879455566E-2,-3.592529297E-2,9.799372101E0,9.799935947E0
1.994389583E-1,1.058299255E-1,-4.266128540E-2,9.802814941E0,9.803479012E0
2.094999583E-1,1.010398865E-1,-5.074447632E-2,9.795180817E0,9.795833364E0
2.195609583E-1,1.047821045E-1,-6.062393188E-2,9.789342957E0,9.790091423E0
2.296219583E-1,9.220825195E-2,-6.047424316E-2,9.808652802E0,9.809272617E0
2.396819583E-1,1.264869690E-1,-8.891510010E-2,9.908644867E0,9.909851056E0
2.497429583E-1,1.016386414E-1,-6.691085815E-2,9.861043854E0,9.861794632E0
2.598039583E-1,7.200027466E-2,-3.727249146E-2,9.720935211E0,9.721273304E0
2.698649583E-1,3.906875610E-2,-3.667373657E-2,9.678722992E0,9.678871323E0
2.799259583E-1,6.601272583E-2,-5.822891235E-2,9.824968872E0,9.825363180E0
2.899859583E-1,5.358856201E-2,-4.760101318E-2,9.833650818E0,9.833912039E0
3.000469583E-1,5.523513794E-2,-4.430786133E-2,9.755962372E0,9.756219345E0
3.101079583E-1,5.718109131E-2,-3.263214111E-2,9.773176575E0,9.773398329E0
3.201689583E-1,7.050338745E-2,-2.170486450E-2,9.842332764E0,9.842609210E0
3.302299583E-1,6.391708374E-2,-2.664459229E-2,9.792336731E0,9.792581579E0
3.402899583E-1,6.167175293E-2,-2.140548706E-2,9.758507080E0,9.758725431E0
3.503509583E-1,6.556365967E-2,-2.409988403E-2,9.773775330E0,9.774024943E0
3.604119583E-1,5.254074097E-2,-2.005828857E-2,9.814790039E0,9.814951165E0
3.704729583E-1,5.224136353E-2,-4.176315308E-2,9.811047821E0,9.811275792E0
3.805339583E-1,6.256988525E-2,-5.074447632E-2,9.783355408E0,9.783687087E0
3.905939583E-1,6.182144165E-2,-5.104385376E-2,9.797276459E0,9.797604471E0
4.006549583E-1,5.553451538E-2,-7.604187012E-2,9.825417938E0,9.825869127E0
4.107159583E-1,4.296066284E-2,-7.664062500E-2,9.794731750E0,9.795125802E0
4.207769583E-1,3.802093506E-2,-7.694000244E-2,9.763297119E0,9.763674308E0
4.308379583E-1,5.763015747E-2,-6.316864014E-2,9.797426147E0,9.797799275E0
4.408979583E-1,9.205856323E-2,-4.954696655E-2,9.801467743E0,9.802025280E0
4.509589583E-1,8.068222046E-2,-4.685256958E-2,9.781259766E0,9.781704728E0
4.610199583E-1,7.604187012E-2,-4.730163574E-2,9.787397003E0,9.787806696E0
4.710809583E-1,7.110214233E-2,-2.679428101E-2,9.788893890E0,9.789188784E0
4.811419583E-1,5.807922363E-2,-1.077758789E-2,9.788893890E0,9.789072119E0
4.912029583E-1,5.179229736E-2,-2.125579834E-2,9.794132996E0,9.794293001E0
5.012629583E-1,6.406677246E-2,-1.092727661E-2,9.786798248E0,9.787014045E0
5.113239583E-1,8.607101440E-2,-2.634521484E-2,9.799072723E0,9.799486136E0
5.213849583E-1,8.711883545E-2,-2.888992310E-2,9.801467743E0,9.801897481E0
5.314459583E-1,8.143066406E-2,-3.996688843E-2,9.767189026E0,9.767610239E0
