"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-0.0017770417,0.0693058777,-0.0324824524,-0.0764909360,9.7338100000
0.0082839583,0.0853225708,-0.0401165771,-0.0176632690,9.7927906100
0.0183449583,0.0702040100,-0.0399668884,-0.0052391050,9.8050936840
0.0284059583,0.0715512085,-0.0202079773,-0.0137713620,9.7965107800
0.0384659583,0.0754431152,-0.0327818298,-0.0347277830,9.7756183040
0.0485269583,0.0905616760,-0.0335302734,-0.0369731140,9.7735039880
0.0585879583,0.1317260742,-0.0755928040,0.1131646730,9.9243268360
0.0686489583,0.1139131165,-0.0733474731,-0.0070353700,9.8039008350
0.0787099583,0.1064286804,-0.0696052551,-0.0193098450,9.7915160050
0.0887699583,0.0943038940,-0.0612226868,-0.0170645140,9.7935809010
0.0988309583,0.1008901978,-0.0631686401,-0.0251477050,9.7855763010
0.1088919583,0.0992436218,-0.0332308960,-0.0023950200,9.8081633880
0.1189529583,0.0708027649,-0.0255967712,-0.0104782100,9.7998109950
0.1290139583,0.0907113647,-0.0288899231,-0.0110769650,9.7993854820
0.1390739583,0.1215472412,-0.0254470825,-0.0079335020,9.8028531010
0.1491349583,0.1330732727,-0.0437091065,-0.0202079770,9.7907939840
0.1591959583,0.1333726501,-0.0428109741,-0.0199086000,9.7910934360
0.1692569583,0.1169068909,-0.0359252930,-0.0226029970,9.7881611120
0.1793179583,0.0797840881,-0.0317340088,-0.0139210510,9.7964552430
0.1893779583,0.0987945557,-0.0359252930,-0.0106278990,9.7999359470
0.1994389583,0.1058299255,-0.0426612854,-0.0071850590,9.8034790120
0.2094999583,0.1010398865,-0.0507444763,-0.0148191830,9.7958333640
0.2195609583,0.1047821045,-0.0606239319,-0.0206570430,9.7900914230
0.2296219583,0.0922082520,-0.0604742432,-0.0013471980,9.8092726170
0.2396819583,0.1264869690,-0.0889151001,0.0986448670,9.9098510560
0.2497429583,0.1016386414,-0.0669108582,0.0510438540,9.8617946320
0.2598039583,0.0720002747,-0.0372724915,-0.0890647890,9.7212733040
0.2698649583,0.0390687561,-0.0366737366,-0.1312770080,9.6788713230
0.2799259583,0.0660127258,-0.0582289124,0.0149688720,9.8253631800
0.2899859583,0.0535885620,-0.0476010132,0.0236508180,9.8339120390
0.3000469583,0.0552351379,-0.0443078613,-0.0540376280,9.7562193450
0.3101079583,0.0571810913,-0.0326321411,-0.0368234250,9.7733983290
0.3201689583,0.0705033874,-0.0217048645,0.0323327640,9.8426092100
0.3302299583,0.0639170837,-0.0266445923,-0.0176632690,9.7925815790
0.3402899583,0.0616717529,-0.0214054871,-0.0514929200,9.7587254310
0.3503509583,0.0655636597,-0.0240998840,-0.0362246700,9.7740249430
0.3604119583,0.0525407410,-0.0200582886,0.0047900390,9.8149511650
0.3704729583,0.0522413635,-0.0417631531,0.0010478210,9.8112757920
0.3805339583,0.0625698852,-0.0507444763,-0.0266445920,9.7836870870
0.3905939583,0.0618214417,-0.0510438538,-0.0127235410,9.7976044710
0.4006549583,0.0555345154,-0.0760418701,0.0154179380,9.8258691270
0.4107159583,0.0429606628,-0.0766406250,-0.0152682500,9.7951258020
0.4207769583,0.0380209351,-0.0769400024,-0.0467028810,9.7636743080
0.4308379583,0.0576301575,-0.0631686401,-0.0125738530,9.7977992750
0.4408979583,0.0920585632,-0.0495469666,-0.0085322570,9.8020252800
0.4509589583,0.0806822205,-0.0468525696,-0.0287402340,9.7817047280
0.4610199583,0.0760418701,-0.0473016357,-0.0226029970,9.7878066960
0.4710809583,0.0711021423,-0.0267942810,-0.0211061100,9.7891887840
0.4811419583,0.0580792236,-0.0107775879,-0.0211061100,9.7890721190
0.4912029583,0.0517922974,-0.0212557983,-0.0158670040,9.7942930010
0.5012629583,0.0640667725,-0.0109272766,-0.0232017520,9.7870140450
0.5113239583,0.0860710144,-0.0263452148,-0.0109272770,9.7994861360
0.5213849583,0.0871188355,-0.0288899231,-0.0085322570,9.8018974810
0.5314459583,0.0814306641,-0.0399668884,-0.0428109740,9.7676102390
0.5415069583,0.0823287964,-0.0428109741,-0.0437091060,9.7667317270
0.5515669583,0.0763412476,-0.0429606628,-0.0193098450,9.7910820300
0.5616279583,-0.0996926880,0.0547860718,-0.1251397710,9.6855282670
0.5716889583,-0.4938230896,0.6885681152,-0.6108796690,9.2380626840
0.5817499583,0.5813909912,-0.8545729065,0.6432124300,10.5041877600
0.5918099583,0.3670367432,-0.1546284485,0.0576301570,9.8756645780
0.6018709583,-0.0251477051,0.0008981323,-0.0547860720,9.7552463830
0.6119319583,0.0790356445,-0.0785865784,-0.0025447080,9.8080885900
0.6219929583,0.0594264221,-0.0441581726,-0.0220042420,9.7882757630
0.6320539583,0.0676593018,-0.0464035034,-0.0014968870,9.8088462310
0.6421149583,0.0603245544,-0.0341290283,-0.0211061100,9.7891392590
0.6521749583,0.0386196899,-0.0405656433,-0.0317340090,9.7784263990
0.6622359583,0.0615220642,-0.0479003906,-0.0477507020,9.7625606670
0.6722969583,0.0766406250,-0.0660127258,-0.0305364990,9.7799865970
0.6823579583,0.0664617920,-0.0597257996,-0.0013471980,9.8090597980
0.6924189583,0.0769400024,-0.0486488342,-0.0107775880,9.7996452160
0.7024789583,0.0721499634,-0.0619711304,-0.0220042420,9.7884578460
0.7125399583,0.0624201965,-0.0401165771,0.0089813230,9.8192616750
0.7226009583,0.0757424927,-0.0489482117,-0.0097297670,9.8006851540
0.7326619583,0.0552351379,-0.0399668884,-0.0248483280,9.7853891860
0.7427229583,0.0821791077,-0.0458047485,-0.0267942810,9.7836580900
0.7527829583,0.0808319092,-0.0483494568,-0.0097297670,9.8007228360
0.7628439583,0.0597257996,-0.0407153320,0.0125738530,9.8228398130
0.7729047500,0.0493972778,-0.0470022583,0.0127235410,9.8229601990
0.7829657500,0.0577798462,-0.0462538147,-0.0077838130,9.8024956050
0.7930267500,-0.1627116394,-0.6107299805,-0.0326321410,9.7977746670
0.8030867500,-0.1924996948,-0.7840695190,-0.0462538150,9.7970689860
0.8131477500,0.6277944946,-0.0556842041,0.0113763430,9.8415781220
0.8232087500,3.5666331480,0.2502795410,0.2040257300,10.6331661800
0.8332697500,2.8482769780,-0.0199085998,0.0969982910,10.3083312500
0.8433307500,2.0296293640,-0.3659889221,-0.0549357600,9.9706881190
0.8533907500,2.2305116270,-0.4218228149,0.0504450990,10.1183740900
0.8634517500,3.4367033390,-0.2860551453,0.0983454900,10.4913329800
0.8735127500,4.1676333620,-0.1956431580,0.0344284060,10.6920631600
0.8835737500,4.6099635310,-0.0676593018,0.0570314030,10.8910353200
0.8936347500,5.6977514650,0.2998265076,0.0088316350,11.3562195500
0.9036947500,4.9443681340,-0.0372724915,-0.2019300840,10.8057009500
0.9137557500,4.1459284970,-0.1606159973,-0.1854643250,10.4807541500
0.9238167500,4.1848475650,-0.4016148376,-0.1695973210,10.5172053100
0.9338777500,4.9686177060,-0.5366340637,-0.0071850590,11.0031958500
0.9439387500,5.5387820430,-0.3116519165,0.1127156070,11.3681800900
0.9539987500,5.8960890200,-0.2929408264,0.1832189940,11.6066406000
0.9640597500,5.4072056580,0.0149688721,-0.1239422610,11.0931425500
0.9741207500,5.1004934690,-0.0833766174,-0.0095800780,11.0485390900
0.9841817500,4.5271856690,-0.3619473267,0.0035925290,10.8135569700
0.9942427500,4.4737467960,-0.1092727661,-0.0673599240,10.7212586300
1.0043027500,4.7469287110,-0.3752696228,0.0859213260,10.9819587700
1.0143637500,5.0364266970,-0.3947291565,0.0796343990,11.1052363100
1.0244247500,5.6576348880,0.0567320251,0.1270857240,11.4349343600
1.0344857500,5.5676719670,-0.0920585632,0.1435514830,11.4052897000
1.0445467500,2.3638842770,-0.3930825806,-0.1773811340,9.9262182630
1.0546067500,2.8126510620,-0.1930984497,-0.3020718380,9.9171059760
1.0646677500,5.4563035580,0.0583786011,0.0479003910,11.2673358300
1.0747287500,4.3086401370,-0.5507048035,0.3532653800,11.0525842600
1.0847897500,6.6315097050,0.2802172852,0.1815724180,11.9952891600
1.0948507500,6.0754161070,-0.2725831604,0.3983216900,11.8825424100
1.1049107500,5.0644184880,0.3620970154,-0.0567320250,10.9957121200
1.1149717500,2.7569668580,-0.1326242065,-0.2707868960,9.9305106660
1.1250327500,3.6667749020,0.6195616150,-0.2133064270,10.2920174100
1.1350937500,4.6235852050,0.8449928284,0.1866618350,11.0464836400
1.1451547500,3.1783406070,0.1076261902,-0.0161663820,10.2972136700
1.1552147500,2.3281086730,-0.0255967712,-0.1404080200,9.9459415970
1.1652757500,0.8918453979,-0.3635939026,-0.1451980590,9.7126713780
1.1753367500,0.7424560547,-0.8189469910,0.1318757630,10.0031399500
1.1853977500,0.7385641479,0.4881349182,-0.1357676700,9.7146551090
1.1954587500,1.2867242430,1.2042457580,0.1297801210,10.0948054000
1.2055187500,2.2046154790,-0.6565347290,0.1788780210,10.2503195700
1.2155797500,1.0286608890,-2.0278330990,0.5939648400,10.6495415300
1.2256407500,-0.2071691895,-0.1106199646,-0.2917433170,9.5211536140
1.2357017500,-2.4447161870,0.5996530151,-0.7608677670,9.3927107450
1.2457627500,-2.0598664860,-0.2856060791,0.5795947300,10.5956736100
1.2558237500,-1.5108082580,0.4778063965,-0.1640588380,9.7752248800
1.2658837500,-1.6950750730,-1.0623408510,0.1648072810,10.1734275400
1.2759447500,-2.3839425660,0.2835104370,-0.0597258000,10.0414843200
1.2860057500,-2.2662872310,-0.8451425171,0.1667532350,10.2657648900
1.2960667500,-2.5282424930,-0.6942562866,0.0121247860,10.1660285900
1.3061277500,-3.0204190060,-1.6672329710,0.1104702760,10.5032531700
1.3161877500,-2.5743466190,-0.8870553589,0.2251318400,10.3979805100
1.3262487500,-3.0410760500,0.0968486023,-0.2734812930,10.0101304800
1.3363097500,-2.3406825260,-0.1255888367,0.0720002750,10.1562048400
1.3463707500,-2.7872039790,0.4584965515,0.1115180970,10.3157765800
1.3564317500,-2.8945307920,0.2330653381,0.2186952200,10.4406587800
1.3664917500,-3.5354978940,0.1628613281,0.0962498470,10.5195083200
1.3765527500,-4.8219227600,-0.2362088013,-0.0559835820,10.8833620700
1.3866137500,-5.1847682190,-0.0235011292,0.1734892270,11.2495524800
1.3966747500,-4.5438011170,0.0017962646,0.0184117130,10.8279180200
1.4067357500,-5.3432885740,-0.1055305481,0.4279600500,11.5489261600
1.4167957500,-4.1016206360,0.5575904846,0.1112187190,10.7501060400
1.4268567500,-1.8720071410,0.4194277954,0.2447410600,10.2361197800
1.4369177500,-2.1962329100,-0.4810995483,0.0645158390,10.1272384600
1.4469787500,-3.4666410830,-0.4607418823,-0.4626878360,9.9800865820
1.4570397500,-4.3114842220,-0.7490423584,-0.3603007510,10.4137782100
1.4670997500,-4.2444236760,-0.2272274780,-0.1083746340,10.5918978200
1.4771607500,-4.0457867430,0.5480104065,-0.0097297670,10.6166851000
1.4872217500,-3.9601647950,0.7078779602,0.4275109900,10.9995739700
1.4972827500,-5.4786071780,0.1001417542,-0.3260220340,10.9531275500
1.5073437500,-2.2032682800,0.1218466187,-0.2453398130,9.8159035350
1.5174037500,-2.3299049380,-0.7241940308,0.1390608220,10.2438628100
1.5274647500,-2.4727079770,-0.1061293030,-0.2294728090,9.8950517650
1.5375257500,-2.3143373110,0.1384620667,0.0398172000,10.1190033000
1.5475867500,-4.9045509340,-0.4474195862,0.2017804000,11.1575333700
1.5576477500,-3.7678147890,0.0892144775,-0.1311273190,10.3867686900
1.5677077500,-3.7832327270,-0.7206015015,0.0191601560,10.5567279900
1.5777687500,-3.6366874690,-0.7324269104,-0.0338296510,10.4563593900
1.5878297500,-3.2461495970,-0.5980064392,0.0461041260,10.3941275500
1.5978907500,-2.4773483280,0.3567082214,-0.1110690310,10.0166739700
1.6079517500,-3.8772372440,-0.4064048767,-0.0462538150,10.5132712900
1.6180117500,-3.0473629760,0.0992436218,-0.0802331540,10.1963048800
1.6280727500,-2.1887484740,0.1469943237,-0.0666114810,9.9872842680
1.6381337500,-2.9347970580,-0.4460723877,-0.0513432310,10.2001664800
1.6481947500,-3.0045520020,-0.1902543640,-0.0570314030,10.2070527500
1.6582557500,-2.8059150700,-0.2841091919,0.0082328800,10.2152618300
1.6683157500,-2.8038194270,-0.3626957703,0.0287402340,10.2368823900
1.6783767500,-1.6449293520,-0.3179388428,0.0059875490,9.9579359930
1.6884377500,0.4845423889,0.0742456055,-0.0086819460,9.8135686340
1.6984987500,0.1977388000,-0.0552351379,-0.0154179380,9.7967336050
1.7085597500,0.2436932373,-0.0811312866,-0.0002993770,9.8130624670
1.7186197500,0.2354603577,-0.0580792236,-0.0226029970,9.7904011600
1.7286807500,0.1936972046,0.0035925293,-0.0172142030,9.7947018930
1.7387417500,0.1829196167,0.0667611694,-0.0257464600,9.7861909840
1.7488027500,0.1416055298,0.1317260742,-0.0208067320,9.7911035500
1.7588637500,0.1386117554,0.1478924561,-0.0128732300,9.7992233540
1.7689253330,0.1833686829,0.1297801208,-0.0193098450,9.7932671090
1.7789853330,0.2143542480,0.0963995361,-0.0182620240,9.7945583470
1.7890463330,0.2493814087,0.0591270447,-0.0083825680,9.8049676880
1.7991073330,0.2701881409,0.0459544373,-0.0086819460,9.8051491090
1.8091683330,0.2588117981,0.0441581726,-0.0053887940,9.8081259370
1.8192293330,0.2339634705,0.0739462280,-0.0193098450,9.7937643760
1.8292893330,0.2092648315,0.0743952942,-0.0112266540,9.8012899920
1.8393503330,0.1863624573,0.1083746338,-0.0029937740,9.8093754710
1.8494113330,0.1752854919,0.0896635437,-0.0188607790,9.7931185940
1.8594723330,0.1817221069,0.0702040100,-0.0115260310,9.8004103810
1.8695333330,0.1779798889,0.0624201965,-0.0166154480,9.7952005650
1.8795933330,0.1646575928,0.0420625305,-0.0005987550,9.8108732620
1.8896543330,0.1850152588,0.0260458374,-0.0026943970,9.8090851880
1.8997153330,0.1799258423,0.0312849426,-0.0101788330,9.8015226860
1.9097763330,0.1713935852,0.0311352539,-0.0134719850,9.7980766640
1.9198373330,0.1751358032,0.0305364990,-0.0080831910,9.8035288630
1.9298973330,0.1731898499,0.0374221802,-0.0145198060,9.7970825950
1.9399583330,0.1929487610,0.0520916748,-0.0085322570,9.8035051220
1.9500193330,0.2043251038,0.0468525696,-0.0179626460,9.7942809560
1.9600803330,0.1999841309,0.0493972778,-0.0127235410,9.7994418080
1.9701413330,0.2040257263,0.0895138550,-0.0224533080,9.7900822000
1.9802013330,0.2005828857,0.0865200806,-0.0014968870,9.8109353550
1.9902623330,0.1827699280,0.0932560730,-0.0065863040,9.8055607510
2.0003233330,0.2013313293,0.0538879394,-0.0068856810,9.8053296000
2.0103843330,0.2308200073,0.0112266540,-0.0124241640,9.8003008210
2.0204453330,0.2408491516,-0.0170645142,-0.0227526860,9.7902252020
2.0305053330,0.2444416809,-0.0486488342,-0.0106278990,9.8025411000
2.0405663330,0.2294728088,-0.0285905457,-0.0092807010,9.8034470450
2.0506273330,0.2040257263,0.0511935425,-0.0229023740,9.7893578550
2.0606883330,0.1856140137,0.0950523376,-0.0169148250,9.7953052400
2.0707493330,0.1335223389,0.1558259583,-0.0178129580,9.7943369870
2.0808093330,0.1273851013,0.1815724182,-0.0161663820,9.7963448510
2.0908703330,0.1544787598,0.1416055298,-0.0139210510,9.7983201920
2.1009313330,0.1872605896,0.0725990295,-0.0148191830,9.7972396310
2.1109923330,0.2185455322,0.0043409729,-0.0088316350,9.8036055780
2.1210533330,0.2387535095,-0.0456550598,-0.0068856810,9.8061275730
2.1311133330,0.2508782959,-0.0618214417,-0.0083825680,9.8050224930
2.1411743330,0.2127076721,-0.0233514404,-0.0100291440,9.8023068010
2.1512353330,0.1573228455,0.0562829590,-0.0194595340,9.7919661390
2.1612963330,0.1356179810,0.1152603149,-0.0179626460,9.7936547170
2.1713573330,0.1508862305,0.1347198486,-0.0097297670,9.8023575090
2.1814173330,0.1782792664,0.0916094971,-0.0002993770,9.8117481670
2.1914783330,0.2014810181,0.0844244385,-0.0246986390,9.7877395150
2.2015393330,0.2317181396,0.0426612854,-0.0104782100,9.8023538290
2.2116003330,0.2466870117,0.0019459534,-0.0246986390,9.7884105450
2.2216613330,0.2297721863,0.0124241638,-0.0143701170,9.7983322260
