"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.671666667E-3,7.095245361E-2,-8.637039185E-2,9.793384552E0,9.794022416E0
8.392333333E-3,5.538482666E-2,-8.891510010E-2,9.775421906E0,9.775983163E0
1.845733333E-2,6.586303711E-2,-9.894424438E-2,9.769883423E0,9.770606429E0
2.852133333E-2,5.927673340E-2,-1.055305481E-1,9.790540466E0,9.791288631E0
3.858533333E-2,6.795867920E-2,-1.005908203E-1,9.818681946E0,9.819432369E0
4.865033333E-2,6.197113037E-2,-9.580078125E-2,9.775571594E0,9.776237426E0
5.871433333E-2,7.843688965E-2,-1.022373962E-1,9.772128754E0,9.772978318E0
6.877833333E-2,5.942642212E-2,-8.816665649E-2,9.795929260E0,9.796506261E0
7.884333333E-2,4.894821167E-2,-8.562194824E-2,9.795480194E0,9.795976688E0
8.890733333E-2,6.541397095E-2,-7.200027466E-2,9.784403229E0,9.784886794E0
9.897133333E-2,7.544311523E-2,-7.484436035E-2,9.775122528E0,9.775700168E0
1.090363333E-1,5.972579956E-2,-7.244934082E-2,9.813742218E0,9.814191378E0
1.191003333E-1,6.212081909E-2,-7.529342651E-2,9.808503113E0,9.808988807E0
1.291643333E-1,6.092330933E-2,-6.960525513E-2,9.773475952E0,9.773913685E0
1.392283333E-1,6.361770630E-2,-7.544311523E-2,9.795779572E0,9.796276654E0
1.492933333E-1,6.107299805E-2,-6.556365967E-2,9.792935486E0,9.793345390E0
1.593573333E-1,6.421646118E-2,-7.140151978E-2,9.781110077E0,9.781581481E0
1.694213333E-1,7.679031372E-2,-8.562194824E-2,9.774224396E0,9.774901043E0
1.794863333E-1,6.691085815E-2,-7.394622803E-2,9.767638092E0,9.768147163E0
1.895503333E-1,7.259902954E-2,-6.855743408E-2,9.749675446E0,9.750186769E0
1.996143333E-1,6.331832886E-2,-7.424560547E-2,9.777966614E0,9.778453493E0
2.096793333E-1,5.807922363E-2,-6.436614990E-2,9.778116302E0,9.778500633E0
2.197433333E-1,8.562194824E-2,-9.250762939E-2,9.781858521E0,9.782670642E0
2.298073333E-1,7.259902954E-2,-8.083190918E-2,9.797426147E0,9.798028553E0
2.398723333E-1,7.783813477E-2,-7.649093628E-2,9.774972839E0,9.775582011E0
2.499363333E-1,7.649093628E-2,-6.466552734E-2,9.784403229E0,9.784915893E0
2.600003333E-1,6.137237549E-2,-7.005432129E-2,9.790390778E0,9.790833762E0
2.700643333E-1,7.259902954E-2,-7.110214233E-2,9.771679688E0,9.772208044E0
2.801293333E-1,5.269042969E-2,-7.080276489E-2,9.801916809E0,9.802314137E0
2.901933333E-1,6.137237549E-2,-8.816665649E-2,9.792037354E0,9.792626586E0
3.002573333E-1,5.493576050E-2,-7.409591675E-2,9.787247314E0,9.787681959E0
3.103223333E-1,5.822891235E-2,-7.708969116E-2,9.789941711E0,9.790418384E0
3.203863333E-1,7.514373779E-2,-8.068222046E-2,9.763446808E0,9.764069324E0
3.304503333E-1,7.828720093E-2,-6.526428223E-2,9.783804474E0,9.784335353E0
3.405153333E-1,6.616241455E-2,-6.960525513E-2,9.818532257E0,9.819001886E0
3.505793333E-1,7.050338745E-2,-7.200027466E-2,9.790091400E0,9.790610011E0
3.606433333E-1,4.954696655E-2,-8.023315430E-2,9.763746185E0,9.764201546E0
3.707083333E-1,6.571334839E-2,-7.170089722E-2,9.778265991E0,9.778749667E0
3.807723333E-1,5.658233643E-2,-8.607101440E-2,9.812245331E0,9.812785956E0
3.908363333E-1,7.499404907E-2,-7.843688965E-2,9.774374084E0,9.774976481E0
4.009003333E-1,6.616241455E-2,-8.951385498E-2,9.775272217E0,9.775905948E0
4.109653333E-1,8.921447754E-2,-9.984237671E-2,9.777517548E0,9.778434288E0
4.210293333E-1,7.694000244E-2,-1.076261902E-1,9.785900116E0,9.786794380E0
4.310933333E-1,9.205856323E-2,-1.056802368E-1,9.789941711E0,9.790944888E0
4.411583333E-1,8.771759033E-2,-9.894424438E-2,9.787846069E0,9.788739194E0
4.512223333E-1,7.364685059E-2,-7.634124756E-2,9.786947937E0,9.787522759E0
4.612863333E-1,7.065307617E-2,-8.666976929E-2,9.790540466E0,9.791178996E0
4.713513333E-1,6.242019653E-2,-9.131011963E-2,9.784552917E0,9.785178057E0
4.814153333E-1,6.556365967E-2,-7.274871826E-2,9.795330505E0,9.795820062E0
4.914793333E-1,7.708969116E-2,-7.813751221E-2,9.769134979E0,9.769751611E0
5.015433333E-1,7.155120850E-2,-7.664062500E-2,9.781409454E0,9.781971390E0
5.116083333E-1,5.328918457E-2,-8.457412720E-2,9.789342957E0,9.789853321E0
5.216723333E-1,5.134323120E-2,-7.514373779E-2,9.787397003E0,9.787820125E0
5.317363333E-1,5.239105225E-2,-7.080276489E-2,9.757908325E0,9.758305833E0
5.418013333E-1,5.269042969E-2,-8.277786255E-2,9.798324280E0,9.798815599E0
5.518653333E-1,3.712280273E-2,-7.798782349E-2,9.778864746E0,9.779246184E0
5.619293333E-1,5.867797852E-2,-7.828720093E-2,9.782756653E0,9.783245868E0
5.719943333E-1,5.014572144E-2,-9.505233765E-2,9.793085175E0,9.793674835E0
5.820583333E-1,6.691085815E-2,-8.696914673E-2,9.796378326E0,9.796992855E0
5.921223333E-1,5.568420410E-2,-1.013392639E-1,9.779014435E0,9.779698037E0
6.021863333E-1,5.733078003E-2,-1.022373962E-1,9.780960388E0,9.781662712E0
6.122513333E-1,5.493576050E-2,-8.083190918E-2,9.796677704E0,9.797165190E0
6.223153333E-1,6.571334839E-2,-8.128097534E-2,9.798473969E0,9.799031429E0
6.323793333E-1,7.604187012E-2,-9.984237671E-2,9.776469727E0,9.777275243E0
6.424443333E-1,8.771759033E-2,-8.816665649E-2,9.779463501E0,9.780254296E0
6.525083333E-1,1.011895752E-1,-8.158035278E-2,9.785301361E0,9.786164591E0
6.625723333E-1,8.681945801E-2,-8.891510010E-2,9.797426147E0,9.798214257E0
6.726373333E-1,6.885681152E-2,-8.352630615E-2,9.776170349E0,9.776769640E0
6.827013333E-1,5.388793945E-2,-6.765930176E-2,9.777966614E0,9.778349185E0
6.927653333E-1,6.885681152E-2,-6.706054688E-2,9.772877197E0,9.773349840E0
7.028293333E-1,5.882766724E-2,-7.559280396E-2,9.770482178E0,9.770951691E0
7.128943333E-1,4.191284180E-2,-8.891510010E-2,9.783355408E0,9.783849223E0
7.229583333E-1,5.194198608E-2,-8.173004150E-2,9.796827393E0,9.797305993E0
