Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
-0.0016716667,0.0709524536,-0.0863703919,-0.0166154480,9.7940224160
0.0083923333,0.0553848267,-0.0889151001,-0.0345780940,9.7759831630
0.0184573333,0.0658630371,-0.0989442444,-0.0401165770,9.7706064290
0.0285213333,0.0592767334,-0.1055305481,-0.0194595340,9.7912886310
0.0385853333,0.0679586792,-0.1005908203,0.0086819460,9.8194323690
0.0486503333,0.0619711304,-0.0958007812,-0.0344284060,9.7762374260
0.0587143333,0.0784368896,-0.1022373962,-0.0378712460,9.7729783180
0.0687783333,0.0594264221,-0.0881666565,-0.0140707400,9.7965062610
0.0788433333,0.0489482117,-0.0856219482,-0.0145198060,9.7959766880
0.0889073333,0.0654139709,-0.0720002747,-0.0255967710,9.7848867940
0.0989713333,0.0754431152,-0.0748443603,-0.0348774720,9.7757001680
0.1090363333,0.0597257996,-0.0724493408,0.0037422180,9.8141913780
0.1191003333,0.0621208191,-0.0752934265,-0.0014968870,9.8089888070
0.1291643333,0.0609233093,-0.0696052551,-0.0365240480,9.7739136850
0.1392283333,0.0636177063,-0.0754431152,-0.0142204280,9.7962766540
0.1492933333,0.0610729981,-0.0655636597,-0.0170645140,9.7933453900
0.1593573333,0.0642164612,-0.0714015198,-0.0288899230,9.7815814810
0.1694213333,0.0767903137,-0.0856219482,-0.0357756040,9.7749010430
0.1794863333,0.0669108582,-0.0739462280,-0.0423619080,9.7681471630
0.1895503333,0.0725990295,-0.0685574341,-0.0603245540,9.7501867690
0.1996143333,0.0633183289,-0.0742456055,-0.0320333860,9.7784534930
0.2096793333,0.0580792236,-0.0643661499,-0.0318836980,9.7785006330
0.2197433333,0.0856219482,-0.0925076294,-0.0281414790,9.7826706420
0.2298073333,0.0725990295,-0.0808319092,-0.0125738530,9.7980285530
0.2398723333,0.0778381348,-0.0764909363,-0.0350271610,9.7755820110
0.2499363333,0.0764909363,-0.0646655273,-0.0255967710,9.7849158930
0.2600003333,0.0613723755,-0.0700543213,-0.0196092220,9.7908337620
0.2700643333,0.0725990295,-0.0711021423,-0.0383203120,9.7722080440
0.2801293333,0.0526904297,-0.0708027649,-0.0080831910,9.8023141370
0.2901933333,0.0613723755,-0.0881666565,-0.0179626460,9.7926265860
0.3002573333,0.0549357605,-0.0740959168,-0.0227526860,9.7876819590
0.3103223333,0.0582289124,-0.0770896912,-0.0200582890,9.7904183840
0.3203863333,0.0751437378,-0.0806822205,-0.0465531920,9.7640693240
0.3304503333,0.0782872009,-0.0652642822,-0.0261955260,9.7843353530
0.3405153333,0.0661624146,-0.0696052551,0.0085322570,9.8190018860
0.3505793333,0.0705033874,-0.0720002747,-0.0199086000,9.7906100110
0.3606433333,0.0495469666,-0.0802331543,-0.0462538150,9.7642015460
0.3707083333,0.0657133484,-0.0717008972,-0.0317340090,9.7787496670
0.3807723333,0.0565823364,-0.0860710144,0.0022453310,9.8127859560
0.3908363333,0.0749940491,-0.0784368896,-0.0356259160,9.7749764810
0.4009003333,0.0661624146,-0.0895138550,-0.0347277830,9.7759059480
0.4109653333,0.0892144775,-0.0998423767,-0.0324824520,9.7784342880
0.4210293333,0.0769400024,-0.1076261902,-0.0240998840,9.7867943800
0.4310933333,0.0920585632,-0.1056802368,-0.0200582890,9.7909448880
0.4411583333,0.0877175903,-0.0989442444,-0.0221539310,9.7887391940
0.4512223333,0.0736468506,-0.0763412476,-0.0230520630,9.7875227590
0.4612863333,0.0706530762,-0.0866697693,-0.0194595340,9.7911789960
0.4713513333,0.0624201965,-0.0913101196,-0.0254470830,9.7851780570
0.4814153333,0.0655636597,-0.0727487183,-0.0146694950,9.7958200620
0.4914793333,0.0770896912,-0.0781375122,-0.0408650210,9.7697516110
0.5015433333,0.0715512085,-0.0766406250,-0.0285905460,9.7819713900
0.5116083333,0.0532891846,-0.0845741272,-0.0206570430,9.7898533210
0.5216723333,0.0513432312,-0.0751437378,-0.0226029970,9.7878201250
0.5317363333,0.0523910523,-0.0708027649,-0.0520916750,9.7583058330
0.5418013333,0.0526904297,-0.0827778625,-0.0116757200,9.7988155990
0.5518653333,0.0371228027,-0.0779878235,-0.0311352540,9.7792461840
0.5619293333,0.0586779785,-0.0782872009,-0.0272433470,9.7832458680
0.5719943333,0.0501457214,-0.0950523376,-0.0169148250,9.7936748350
0.5820583333,0.0669108582,-0.0869691467,-0.0136216740,9.7969928550
0.5921223333,0.0556842041,-0.1013392639,-0.0309855650,9.7796980370
0.6021863333,0.0573307800,-0.1022373962,-0.0290396120,9.7816627120
0.6122513333,0.0549357605,-0.0808319092,-0.0133222960,9.7971651900
0.6223153333,0.0657133484,-0.0812809753,-0.0115260310,9.7990314290
0.6323793333,0.0760418701,-0.0998423767,-0.0335302730,9.7772752430
0.6424443333,0.0877175903,-0.0881666565,-0.0305364990,9.7802542960
0.6525083333,0.1011895752,-0.0815803528,-0.0246986390,9.7861645910
0.6625723333,0.0868194580,-0.0889151001,-0.0125738530,9.7982142570
0.6726373333,0.0688568115,-0.0835263061,-0.0338296510,9.7767696400
0.6827013333,0.0538879394,-0.0676593018,-0.0320333860,9.7783491850
0.6927653333,0.0688568115,-0.0670605469,-0.0371228030,9.7733498400
0.7028293333,0.0588276672,-0.0755928040,-0.0395178220,9.7709516910
0.7128943333,0.0419128418,-0.0889151001,-0.0266445920,9.7838492230
0.7229583333,0.0519419861,-0.0817300415,-0.0131726070,9.7973059930
0.7330223333,0.0609233093,-0.0962498474,-0.0172142030,9.7934482870
