"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.339833334E-3,2.236349487E-1,-3.921844482E-2,9.770332489E0,9.772970256E0
1.239983333E-2,2.222877502E-1,-2.814147949E-2,9.799222412E0,9.801783698E0
2.246083333E-2,2.348616028E-1,-3.158432007E-2,9.791438599E0,9.794305865E0
3.252183333E-2,2.281256104E-1,-3.128494263E-2,9.799821167E0,9.802525947E0
4.258283333E-2,2.644999695E-1,-2.604583740E-2,9.767039337E0,9.770654842E0
5.264283333E-2,2.800675964E-1,-3.577560425E-2,9.792785797E0,9.796855180E0
6.270383333E-2,2.833607483E-1,-1.197509766E-2,9.794582062E0,9.798687386E0
7.276483333E-2,2.869532776E-1,-2.365081787E-2,9.815239105E0,9.819461301E0
8.282583333E-2,2.540217590E-1,-1.347198486E-3,9.800868988E0,9.804160433E0
9.288583333E-2,2.398013306E-1,7.933502197E-3,9.762099609E0,9.765047691E0
1.029468333E-1,2.414479065E-1,-4.340972900E-3,9.791139221E0,9.794116764E0
1.130078333E-1,2.787203979E-1,-2.409988403E-2,9.795929260E0,9.799923262E0
1.230688333E-1,2.688409424E-1,-4.026626587E-2,9.810598755E0,9.814364205E0
1.331288333E-1,2.700384521E-1,-4.939727783E-2,9.801018677E0,9.804862465E0
1.431898333E-1,2.686912537E-1,-5.239105225E-2,9.792187042E0,9.796012805E0
1.532508333E-1,2.616558838E-1,-4.999603271E-2,9.805509338E0,9.809127219E0
1.633118333E-1,2.562670898E-1,-2.829116821E-2,9.783654785E0,9.787051352E0
1.733718333E-1,2.574645996E-1,-1.945953369E-2,9.793384552E0,9.796787620E0
1.834328333E-1,2.381547546E-1,-5.837860107E-3,9.786199493E0,9.789098646E0
1.934938333E-1,2.356100464E-1,-2.469863892E-2,9.796528015E0,9.799391985E0
2.035538333E-1,2.664459229E-1,-5.254074097E-2,9.784403229E0,9.788171459E0
2.136148333E-1,2.900967407E-1,-3.053649902E-2,9.799521790E0,9.803862295E0
2.236758333E-1,3.279679871E-1,-4.864883423E-2,9.808353424E0,9.813955706E0
2.337368333E-1,3.288661194E-1,-4.520599365E-2,9.811796265E0,9.817410170E0
2.437968333E-1,3.149450684E-1,-4.221221924E-2,9.801168365E0,9.806318045E0
2.538578333E-1,2.550695801E-1,-3.068618774E-2,9.760752411E0,9.764132822E0
2.639188333E-1,2.342628479E-1,-1.481918335E-2,9.795330505E0,9.798142599E0
2.739798333E-1,2.592608643E-1,2.245330811E-3,9.806108093E0,9.809535013E0
