Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.0023398333,0.2236349487,-0.0392184448,-0.0396675110,9.7729702560
0.0123998333,0.2222877502,-0.0281414795,-0.0107775880,9.8017836980
0.0224608333,0.2348616028,-0.0315843201,-0.0185614010,9.7943058650
0.0325218333,0.2281256104,-0.0312849426,-0.0101788330,9.8025259470
0.0425828333,0.2644999695,-0.0260458374,-0.0429606630,9.7706548420
0.0526428333,0.2800675964,-0.0357756043,-0.0172142030,9.7968551800
0.0627038333,0.2833607483,-0.0119750977,-0.0154179380,9.7986873860
0.0727648333,0.2869532776,-0.0236508179,0.0052391050,9.8194613010
0.0828258333,0.2540217590,-0.0013471985,-0.0091310120,9.8041604330
0.0928858333,0.2398013306,0.0079335022,-0.0479003910,9.7650476910
0.1029468333,0.2414479065,-0.0043409729,-0.0188607790,9.7941167640
0.1130078333,0.2787203979,-0.0240998840,-0.0140707400,9.7999232620
0.1230688333,0.2688409424,-0.0402662659,0.0005987550,9.8143642050
0.1331288333,0.2700384521,-0.0493972778,-0.0089813230,9.8048624650
0.1431898333,0.2686912537,-0.0523910523,-0.0178129580,9.7960128050
0.1532508333,0.2616558838,-0.0499960327,-0.0044906620,9.8091272190
0.1633118333,0.2562670898,-0.0282911682,-0.0263452150,9.7870513520
0.1733718333,0.2574645996,-0.0194595337,-0.0166154480,9.7967876200
0.1834328333,0.2381547546,-0.0058378601,-0.0238005070,9.7890986460
0.1934938333,0.2356100464,-0.0246986389,-0.0134719850,9.7993919850
0.2035538333,0.2664459229,-0.0525407410,-0.0255967710,9.7881714590
0.2136148333,0.2900967407,-0.0305364990,-0.0104782100,9.8038622950
0.2236758333,0.3279679871,-0.0486488342,-0.0016465760,9.8139557060
0.2337368333,0.3288661194,-0.0452059936,0.0017962650,9.8174101700
0.2437968333,0.3149450684,-0.0422122192,-0.0088316350,9.8063180450
0.2538578333,0.2550695801,-0.0306861877,-0.0492475890,9.7641328220
0.2639188333,0.2342628479,-0.0148191834,-0.0146694950,9.7981425990
